sentimen,Tweet
-1,jgn nyinyirin mereka beritanya ke up mlh kesenangan ntar bocah sendok perak pcas bts themus 
-1,nuduh selingkuh kok habis putus kamu kok kayak aziz gagap lucumu garing
-1,itu yg aku hindari hahhaha
-1,sebab mak aku pesan tak salah dan tak rugi pun kalau kita layan baik kat orang yang dah sakitkan hati kita
-1,dan perlu juga aku ingatkan tidak sesekali aku mengikuti prinsip bucaeillism iaitu mengaitkan penemuan saintifik dengan 
-1,dimanakah pembelaan disaat orang meminta perlindungan dimanakah kasih disaat orang berteriak karena ketidakadilan 
-1,berlatih membuat kita menjadi sempurna tapi tidak ada manusia yang sempurna jadi buat apa kita susah payah berlatih ehh
-1,aku tak berharap dpt titik dua bintang hug darimu tp aku berharap dapat satu titik dimana hanya ada aku di hatimuteffy ai
-1,kebalik jokowi itu ngga punya banyak kinerja yg bisa dibanggakan janjinya banyak yg palsu target ekonomi disusun pake halus 
-1,terungkap mourinho dan pogba bertengkar hebat di ruang ganti 
-1,sulit tuk ucapkan selamat tinggal pada dia yg kamu cinta tapi lebih sulit lagi ketika kenangan bersamanya tak hilang begitu saja nreal
-1,kan jangan jeles dianya tahu harus kemana ea eaa cyg 
-1,kalau kita tahu cinta tu sakit mesti takramai orang pilih untuk bercinta um 
-1,dengan kata lain bigbang tidak akan pernah bisa kamu banding bandingkan dengan siapapun dan gak ada itu kata kata the nex 
-1,hah gimana gimana 
-1,aku selalu berkorban dan rela mengorbankan perasaan demi kamu tapiemua ga ada artinya dimata kamu  
-1,ga     
-1,jangan begadang jangan minum2an soda jangan kau pilih dia pilihlah aku yang mampu mencintamu lebih dari dia 
-1,sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu 
-1,selamat pagiobat jagan gubris ocehan orng sok agamis hanya utk provokasi nurugik tukang memaki penghina kiai kami 
-1,tidak sekali kali bahkan kamu tidak memuliakan anak yatim qs al fajr 89 17 nauzubillah 
-1,mau marah
-1,ya allah tolonglah normalkan abang aku 
-1,indonesia rawan bencana 
-1,dalam banyak banyak sunnah NabiAW yang paling lelaki fail buat is berdakwah This is prime example 
-1,jarah toko mas jarah barang elektronik jarah toko pakaian sampai tokonya dirusak jarah toko hp jarah ban bobol 
-1,kamu kemana saja sayangku 
-1,page 272 365 klu org tu buat salah jgn benci dia tapi benci la perbuatan dia krn tiada manusia yg sempurna dlm dunia 
-1,aku tak cakap tak sedih sedih la gak tapi most of the time aku tutup mata dah cenna burn 15 hinggit
-1,kami butuh pelukan bukan pukulan kami butuh penerimaan bukan penghakiman kami butuh pengertian bukan cibiran kami butuh te 
-1,sa mana pr kamu saya lupa ngerjain pak hukuman apa yg pantas buat kamu gimana kalau saya jadi pelayan hati bapak gigitkeset botsesat
-1,leani ratri itu pernah mengaku ke media kalau dia sedih karena pertandingan selalu sepi saat dia bermain kenapa sih 
-1,aku pun tak faham dengan diri aku 
-1,aku x boleh kalau bersebelahan ngn org pandai secara automatik aku jadi kaku
-1,cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p 
-1,negara tidak hadir pak 
-1,motivasi hari ini terlalu byk penderitaan membuat resistensi akan dampak2 negatif bisa aku akomodir menjadi sebuah kenikmat yampokpok
-1,kalian para buzer dan rombobgan para penghasut tlh mncuci otak prempuan itu hingga benci b 
-1,cerita seram kat bilik aku 
-1,ohh km duluan ya yg masuk aku minggu pertama dah lgsg dikasih tugas buat sampe uas makanya otak ku ngadet 
-1,kamu lagi ultah jan sedih sedih
-1,kamu ada affair ya sama twitter kok begituan doang diselamatin 
-1,bzzzz wtfff rennn kamu ama dokter cowo apa cewe 
-1,sorry kung mahal na mahal kita 
-1,aku jg pusing liatnya
-1,kalo adek aku marah kamu maju paling depan yah 3
-1,sakit period pain ni dah mcm sakit beranakeriously k tipu ja aku mana tahu sakit beranak tu mcm mana
-1,tadi pamitnya tidur tapi aku cek ig di dm kamu kok ada ijo ijonya ya 
-1,astagfirullah maaf ini aku ketawa 
-1,admin tau kalo hoseok bisa nyetir tapi kenapa aku tetephock kalo hoseok bisa nyetir mpn btsarmy https 
-1,11oal jadup rp 10 000 per orang mereka minta segera direalisasikan korban gempa kesulitan dapat pekerjaan dan pendapata 
-1,semoga fotonya ga nyebar berhubung itu juga engkong masih jaman sekolah bentuknya waduh aku puyeng jadinya 
